longitude latitude uo file
-156.42 9.25 -0.020753 point0_uo.nc
-154.08 9.17 0.100101 point10_uo.nc
-154.08 9.17 0.100101 point11_uo.nc
-153.83 9.08 0.142827 point12_uo.nc
-154.17 9.33 0.066530 point13_uo.nc
-156.42 9.42 -0.057985 point1_uo.nc
-156.42 9.50 -0.072634 point2_uo.nc
-154.17 9.42 0.061647 point3_uo.nc
-154.17 9.33 0.066530 point4_uo.nc
-154.08 9.33 0.074465 point5_uo.nc
-153.92 9.25 0.100711 point6_uo.nc
-153.92 9.25 0.100711 point7_uo.nc
-153.92 9.17 0.115360 point8_uo.nc
-154.00 9.17 0.107425 point9_uo.nc
