longitude latitude uo file
177.33 70.25 -0.010987 point0_uo.nc
167.83 75.17 0.065920 point10_uo.nc
168.08 75.83 -0.004883 point11_uo.nc
168.50 76.58 -0.126957 point12_uo.nc
162.00 77.92 -0.070193 point13_uo.nc
160.25 76.50 0.032350 point14_uo.nc
159.25 75.83 -0.068972 point15_uo.nc
158.50 75.25 -0.061037 point16_uo.nc
155.67 74.08 -0.068972 point17_uo.nc
157.33 72.83 -0.015259 point18_uo.nc
153.25 71.92 -0.001831 point19_uo.nc
174.33 70.17 0.242927 point1_uo.nc
153.17 73.33 -0.054933 point20_uo.nc
151.17 73.50 -0.057985 point21_uo.nc
148.50 73.75 -0.056764 point22_uo.nc
174.33 70.75 -0.020753 point2_uo.nc
170.92 71.25 0.017701 point3_uo.nc
166.00 70.08 0.004273 point4_uo.nc
166.25 71.00 -0.022584 point5_uo.nc
166.58 71.67 -0.023194 point6_uo.nc
162.58 72.17 -0.014649 point7_uo.nc
166.92 72.92 -0.030519 point8_uo.nc
167.50 74.08 -0.007935 point9_uo.nc
