longitude latitude uo file
-32.75 -5.42 -0.249641 point0_uo.nc
-14.17 -17.25 -0.159917 point10_uo.nc
-13.67 -14.25 -0.155644 point11_uo.nc
-13.33 -15.17 -0.120243 point12_uo.nc
-13.33 -25.25 -0.095828 point13_uo.nc
-13.42 -23.25 -0.122684 point14_uo.nc
-11.83 -20.33 -0.111698 point15_uo.nc
-12.00 -19.58 -0.069582 point16_uo.nc
-12.00 -19.42 -0.137944 point17_uo.nc
-12.00 -19.42 -0.137944 point18_uo.nc
-11.92 -19.42 -0.125736 point19_uo.nc
-14.33 -14.08 -0.159917 point1_uo.nc
-12.00 -19.50 -0.099490 point20_uo.nc
-11.92 -19.33 -0.165410 point21_uo.nc
-13.67 -14.25 -0.155644 point22_uo.nc
-13.42 -13.25 -0.146489 point23_uo.nc
-13.92 -12.17 -0.103153 point24_uo.nc
-14.42 -14.08 -0.166631 point25_uo.nc
-14.33 -14.00 -0.155644 point26_uo.nc
-14.33 -14.00 -0.155644 point27_uo.nc
-13.83 -26.00 0.040895 point28_uo.nc
-13.50 -27.17 -0.057985 point29_uo.nc
-11.83 -20.17 -0.076907 point2_uo.nc
-14.42 -14.08 -0.166631 point3_uo.nc
-14.33 -14.00 -0.155644 point4_uo.nc
-14.42 -14.08 -0.166631 point5_uo.nc
-14.42 -13.33 -0.107425 point6_uo.nc
-13.83 -26.00 0.040895 point7_uo.nc
-13.33 -24.58 -0.106815 point8_uo.nc
-13.33 -24.17 -0.100101 point9_uo.nc
