longitude latitude uo file
110.42 16.67 -0.221322 point0_uo.nc
110.25 16.42 -0.094920 point10_uo.nc
110.50 16.75 0.115725 point11_uo.nc
110.50 16.92 0.025274 point12_uo.nc
110.50 16.75 0.073325 point13_uo.nc
110.42 16.67 0.144642 point14_uo.nc
110.50 16.75 0.115725 point15_uo.nc
110.42 16.67 0.144642 point16_uo.nc
110.42 16.67 -0.221322 point17_uo.nc
110.42 16.75 -0.116026 point18_uo.nc
110.50 16.75 0.115725 point19_uo.nc
122.50 35.00 -0.165312 point1_uo.nc
110.42 16.67 -0.221322 point20_uo.nc
110.58 17.17 0.081907 point21_uo.nc
119.25 22.08 0.346179 point22_uo.nc
110.50 16.75 0.115725 point2_uo.nc
110.50 16.75 0.115725 point3_uo.nc
110.42 16.67 0.144642 point4_uo.nc
110.25 16.42 -0.094920 point5_uo.nc
110.50 16.75 -0.063154 point6_uo.nc
110.50 16.75 0.115725 point7_uo.nc
110.50 16.75 0.073325 point8_uo.nc
110.50 16.75 0.073325 point9_uo.nc
