longitude	latitude	uo	file
10.25	57.17	nan	point0_uo.nc
-168.83	72.83	0.043947	point1_uo.nc
-168.83	72.83	-0.001831	point2_uo.nc
-168.83	72.83	0.019532	point3_uo.nc
118.17	38.67	0.020142	point4_uo.nc
119.75	38.83	0.012207	point5_uo.nc
106.83	-6	0.034181	point6_uo.nc
106.83	-6	-0.010987	point7_uo.nc
3.33	79	-0.034791	point8_uo.nc
120.17	22.42	0.159307	point9_uo.nc
120.17	22.42	0.145268	point10_uo.nc
31.42	45	0.018921	point11_uo.nc
159.08	23.33	-0.136723	point12_uo.nc
139.58	35.25	nan	point13_uo.nc
139.58	35.25	nan	point14_uo.nc
120.83	33.25	-0.007935	point15_uo.nc
-130.58	89.08	0.054323	point16_uo.nc
113.58	22.25	0.056764	point17_uo.nc
113.33	22.25	nan	point18_uo.nc
33.08	28.58	-0.029298	point19_uo.nc
32.5	31.33	0.042116	point20_uo.nc
73.75	15.42	0.036622	point21_uo.nc
73.75	15.42	0.017701	point22_uo.nc
74.25	11.58	-0.173345	point23_uo.nc
93.75	7.58	-0.340587	point24_uo.nc
14.17	67.83	-0.01587	point25_uo.nc
18.67	42.42	nan	point26_uo.nc
153.5	45.5	-0.441908	point27_uo.nc
120.17	36.08	-0.002441	point28_uo.nc
117.42	38.58	nan	point29_uo.nc
100.83	11.75	-0.068361	point30_uo.nc
121	30.33	-0.005493	point31_uo.nc
119.42	37.42	0.006104	point32_uo.nc
122.5	37.08	-0.004883	point33_uo.nc
122.5	37.08	0.001831	point34_uo.nc
122.5	37.08	0.012818	point35_uo.nc
122.5	37.08	-0.004883	point36_uo.nc
-3.08	79.92	-0.020753	point37_uo.nc
-9.17	53.17	0.005493	point38_uo.nc
52.42	36.75	nan	point39_uo.nc
51.58	36.75	nan	point40_uo.nc
52.42	36.75	nan	point41_uo.nc
121.08	30.33	-0.013428	point42_uo.nc
60.33	25.25	-0.146489	point43_uo.nc
60.33	25.25	-0.146489	point44_uo.nc
50.75	37	nan	point45_uo.nc
106.17	-6	nan	point46_uo.nc
120.17	36.08	0.002441	point47_uo.nc
123	28.83	0.091556	point48_uo.nc
123.92	35	-0.063478	point49_uo.nc
121.5	37.5	0.004883	point50_uo.nc
-3.75	36.58	0.310068	point51_uo.nc
11.83	42	0.017701	point52_uo.nc
-169	66.92	0.16541	point53_uo.nc
4.58	53.08	0.004273	point54_uo.nc
122.75	38.42	-0.004273	point55_uo.nc
119.67	38.58	0.056764	point56_uo.nc
122.92	38.25	0.036012	point57_uo.nc
123.58	34.67	0.113529	point58_uo.nc
121	33	-0.012207	point59_uo.nc
118.08	24.42	0.003662	point60_uo.nc
-2.5	47.42	-0.019532	point61_uo.nc
-2	47	nan	point62_uo.nc
-1.25	46.25	-0.006104	point63_uo.nc
119.92	38.75	-0.009766	point64_uo.nc
116	-8.83	nan	point65_uo.nc
121.5	29.5	nan	point66_uo.nc
10.25	37	0.006714	point67_uo.nc
114.17	22.33	0.295419	point68_uo.nc
114.17	22.33	-0.170293	point69_uo.nc
114.17	22.33	-0.110477	point70_uo.nc
56.25	27.17	0.08301	point71_uo.nc
164	74.5	0.009156	point72_uo.nc
106.75	-6.08	0.025636	point73_uo.nc
-3.08	58.92	nan	point74_uo.nc
