Number,Depth,Measured value,Keras-Predicted value
1,120.2097505,1031.420894,907.96436
2,93.68495074,272.5539152,257.59222
3,1025,228.0361757,211.88771
4,725,329.8306678,324.8565
5,950,183.4879236,163.62746
6,1513,118.3852434,119.81292
7,2100,45.19393566,45.207474
8,4967.165376,19.36564853,33.213737
9,5169.396519,29.67598313,33.14434
10,5216.091305,53.07344469,35.784756
11,5168.602349,50.54264068,44.421627
12,5054.518702,9.812047667,41.21086
13,5074.862671,22.2877358,40.87456
14,5053.833072,35.56215979,31.916111
15,5164.348696,40.4464,32.723347
16,5109.630256,22.4346033,32.470673
17,5052.563524,30.00532425,24.51286
18,5094.398449,13.36902632,22.056637
19,5225.672002,6.333231206,22.446455
20,5146.276556,44.175448,39.106907
21,5103.903017,91.06645136,41.207413
22,44.22,359.5848847,351.65402
23,52.7,191.6822655,193.3475
24,51,114.8830407,115.74061
25,48.7,48.05435865,52.15937
26,50.6,143.7349221,144.82816
27,52.72,565.2638799,551.799
28,47.52,190.2130497,190.5365
29,46,281.1559896,242.31586
30,29.18,421.343,425.11224
31,36.69,83.17818298,69.19215
32,34.81,37.32148733,43.71522
33,15.33,98.31740538,82.83655
34,20.13,47.78020835,48.252113
35,24.15,47.57602495,38.045048
36,21.78,99.80862787,89.84628
37,24.77,72.58774013,71.80508
38,43.28,67.11949047,68.970245
39,65.64,104.0031651,71.91737
40,138.75,92.04651952,69.78976
41,253.6,278.7172282,287.33545
42,131.44,38.37633568,40.846737
43,68.96,84.65066354,88.47957
44,45.81,107.3752359,95.475204
45,35.9,100.523338,94.76704
46,36.03,17.77506497,22.199755
47,19.31,53.3908902,50.745476
48,12.44,31.71614523,36.91054
49,21.27,95.91070942,100.6885
50,11.91,735.3909583,720.40356
51,11.09,23.41981734,26.766235
52,34.5,9.798575779,9.98621
53,14.908,6.784651994,7.4529653
54,12,15.54605153,18.26609
55,10,12.144,20.881615
56,5.451968,56.99590176,52.30153
57,13.5365197,127.7720136,108.51529
58,3.718752,58.08859766,56.948612
59,8.22,22.87083744,28.420765
60,2.619744,17.12449835,28.551905
61,487,81.5935123,85.30621
62,353,70.36248901,65.57165
63,168.8,47.8498845,47.981224
64,413.7,55.70475565,59.095394
65,503.6,38.07041686,40.797134
66,667,146.8969175,156.46176
67,2920,28.01077806,24.189686
68,3240,34.71589571,33.47213
69,311,31.32885055,28.098776
70,3092,36.0590956,60.870373
71,2843,200.6015705,95.74944
72,2728,11.46259,95.75091
73,2153,101.0470371,124.2639
74,1936,124.333331,129.73549
75,1937,187.6560086,129.7355
76,2596,93.58634106,102.48503
77,2319,29.72217394,52.943775
78,2512,72.4792611,54.015778
79,2562,28.30247856,54.017944
80,3358,109.6833521,93.53753
81,2635,62.13681606,62.435547
82,2950,36.2520862,48.14501
83,2994,63.13605591,64.40418
84,3316,48.42767296,48.198708
85,2246,16.66406798,118.05008
86,2835,61.44183506,58.044952
87,3271,97.56278211,111.92853
88,2800,20.54702428,22.592579
89,2562,81.67312999,121.52709
90,2473,31.49014849,75.1187
91,2699,143.1004394,83.12735
92,2407,67.69770408,233.78386
93,2475,506.7801575,233.8174
94,2590,104.005598,95.387695
95,2652,19.39595502,77.57028
96,2486,60.17112045,127.48888
97,2246,165.1736844,118.05008
98,2360,51.82871286,85.452515
99,2647,21.88331183,33.373455
100,1356,25.64605433,51.421837
101,60,44.88824,50.413807
102,1395,5.6,37.86841
103,1391,20.66520833,38.015953
104,1358,30.2,20.747768
105,1207,12.7,49.9587
106,1391,16.86520833,31.143917
107,1395,5.5,37.86841
108,1389,76.48746057,44.263363
109,1389,14.10861183,44.263363
110,1207,76.13179856,49.9587
111,1392,14.97601246,37.97948
112,1434,66.42873684,49.653404
113,1389,26.43472367,44.263363
114,1354,4.3,20.013187
115,1401,4.6,37.647514
116,1354,32.02162162,20.013187
117,1355,5.5,51.44435
118,1370,103.9710495,109.030975
119,1395,125.4225857,37.86841
120,1355,131.5146552,51.44435
121,1513,13.03177083,30.896461
