Number,Depth,Measured value,DNN-Predicted value
219,0.248898535,5.391764706,3.0781362
217,0.287580763,6.290392157,3.0011973
177,2.157967911,43.04752223,3.0658138
178,2.157967911,64.61103583,2.4093266
173,2.194954646,2.461047691,3.0776634
185,2.290780552,2.270249614,2.8084812
60,2.619744,17.12449835,29.401585
187,2.736936045,0.744696516,2.5397058
215,3.281620736,30.38856484,2.783691
58,3.718752,58.08859766,31.950727
203,3.91173472,0.099479054,2.7367628
221,4,0.759543792,1.555397
218,4.150084858,6.964362745,3.0578313
202,4.340512,3.144863106,2.437896
227,4.772129497,0.25933229,3.206286
198,4.978483384,1.903077547,2.5337055
229,4.990115736,126.863124,2.6820064
56,5.451968,56.99590176,31.566929
189,6.258958761,15.67299066,2.8839424
190,6.258958761,14.76628069,3.0738602
191,6.258958761,12.56434648,3.1426299
192,6.258958761,16.06159326,2.7801127
59,8.22,22.87083744,29.995539
206,8.452847833,4.414822432,2.846115
188,8.594288343,4.077721375,2.6988294
224,8.69682715,2.135182961,3.1330922
225,8.69682715,3.875466053,1.6662327
226,8.69682715,1.432770072,1.8777723
174,9.932786,7.182387671,2.612047
55,10,12.144,28.633083
51,11.09,23.41981734,59.00274
50,11.91,735.3909583,63.488308
54,12,15.54605153,22.579966
48,12.44,31.71614523,49.310932
176,12.44907092,5.522997561,2.9189816
230,12.5,12.81018648,3.0734305
184,12.78979513,0.165798423,2.548533
160,13.01124402,4.050513009,2.7657819
57,13.5365197,127.7720136,32.23008
171,13.94232777,2.188447809,3.0875416
53,14.908,6.784651994,14.885795
33,15.33,98.31740538,56.88012
216,16.09101003,27.08193121,2.4408314
195,17.5,0.07460929,3.344663
162,17.52100629,133.5979844,3.037216
163,17.52100629,120.3650195,3.5198226
200,17.91237274,2.314477904,2.917182
194,19.01937778,0.363098546,3.0919917
47,19.31,53.3908902,47.15651
210,19.99971437,2.076339838,3.0168395
34,20.13,47.78020835,60.63964
49,21.27,95.91070942,61.188263
36,21.78,99.80862787,50.529263
161,22.52427997,0.577147162,3.510992
220,22.99114752,1.201643948,2.6312616
35,24.15,47.57602495,60.1415
169,24.5,179.0708609,3.261595
37,24.77,72.58774013,60.506393
212,25.00533743,1.517661465,2.4755223
170,26,263.5180366,5.2647443
223,26.20984062,63.04753386,3.0552258
30,29.18,421.343,66.57772
182,33.51773944,7.173114724,2.8286324
52,34.5,9.798575779,12.772201
32,34.81,37.32148733,62.752712
208,35.82283121,3.212942914,3.1792846
45,35.9,100.523338,71.88528
46,36.03,17.77506497,69.08515
31,36.69,83.17818298,64.327805
38,43.28,67.11949047,59.506798
