Number,Depth,Measured value,RF-Predicted value
1,0.248898535,5.391764706,11.62500712
2,0.287580763,6.290392157,24.14038812
3,2.157967911,43.04752223,76.09278095
4,2.157967911,64.61103583,74.10611259
5,2.194954646,2.461047691,16.99615357
6,2.290780552,2.270249614,31.501384
7,2.619744,17.12449835,34.46317828
8,2.736936045,0.744696516,20.94630298
9,3.281620736,30.38856484,17.49107681
10,3.718752,58.08859766,74.31522198
11,3.91173472,0.099479054,21.372842
12,4,0.759543792,66.47134128
13,4.150084858,6.964362745,11.36131317
14,4.340512,3.144863106,120.3971952
15,4.772129497,0.25933229,34.98596276
16,4.978483384,1.903077547,40.74208467
17,4.990115736,126.863124,78.05492655
18,5.451968,56.99590176,31.57108609
19,6.258958761,15.67299066,43.24222921
20,6.258958761,14.76628069,25.3826917
21,6.258958761,12.56434648,14.71604627
22,6.258958761,16.06159326,17.43297459
23,8.22,22.87083744,35.62634759
24,8.452847833,4.414822432,13.84161459
25,8.594288343,4.077721375,12.63088213
26,8.69682715,2.135182961,14.83598858
27,8.69682715,3.875466053,34.42555691
28,8.69682715,1.432770072,33.4081486
29,9.932786,7.182387671,16.61266027
30,10,12.144,29.50514485
31,11.09,23.41981734,347.5649621
32,11.91,735.3909583,67.12831386
33,12,15.54605153,24.53174148
34,12.44,31.71614523,212.6769285
35,12.44907092,5.522997561,14.80484255
36,12.5,12.81018648,133.3306564
37,12.78979513,0.165798423,16.91996645
38,13.01124402,4.050513009,10.10631349
39,13.5365197,127.7720136,39.88876484
40,13.94232777,2.188447809,12.29345625
41,14.908,6.784651994,52.55471318
42,15.33,98.31740538,204.0996642
43,16.09101003,27.08193121,24.52616241
44,17.5,0.07460929,28.77087579
45,17.52100629,133.5979844,63.82534089
46,17.52100629,120.3650195,71.40228908
47,17.91237274,2.314477904,78.01954383
48,19.01937778,0.363098546,59.26225314
49,19.31,53.3908902,181.9567917
50,19.99971437,2.076339838,38.99383374
51,20.13,47.78020835,120.1134575
52,21.27,95.91070942,458.6690146
53,21.78,99.80862787,285.4665437
54,22.52427997,0.577147162,22.49948379
55,22.99114752,1.201643948,18.16280073
56,24.15,47.57602495,125.4141722
57,24.5,179.0708609,83.43335157
58,24.77,72.58774013,170.3846587
59,25.00533743,1.517661465,16.61268495
60,26,263.5180366,63.79279033
61,26.20984062,63.04753386,93.48318802
62,29.18,421.343,174.9025739
63,33.51773944,7.173114724,23.37498309
64,34.5,9.798575779,23.42956399
65,34.81,37.32148733,231.0764445
66,35.82283121,3.212942914,39.0624116
67,35.9,100.523338,226.3110932
68,36.03,17.77506497,206.7632154
69,36.69,83.17818298,437.4586056
70,43.28,67.11949047,183.3926615
71,44.22,359.5848847,102.091795
72,45.81,107.3752359,327.5533268
73,46,281.1559896,367.9567509
74,46.53752467,1.328616323,54.73209148
75,47.52,190.2130497,202.9121699
76,48.7,48.05435865,173.2399208
77,50.6,143.7349221,224.1045263
78,51,114.8830407,203.247703
79,52.7,191.6822655,158.8564372
80,52.72,565.2638799,128.3497144
81,52.96930422,1.091868202,15.05349365
82,56.44202091,5.051241416,103.4842527
83,56.7,0.327737138,17.00952803
84,57.25098858,3.813499159,42.29820504
