Lon,Lat,Sort,uo,vo,VHM0,VMDR,VSDX,VSDY,THETA,SALT,VVEL,UVEL,Pressure,output,train
166.6983333,75.37366667,3,-0.035832,0.000926,0.7039638,197.21874,-0.01075907,-0.00648406,-0.380438179,33.84708786,0.018016636,0.017709391,120.7268861,1031.420894,TRUE
161.8393333,74.71566667,3,-0.109854,0.02746,0.516047,174.843953,-0.007364,-0.007287,-0.869613945,33.67387009,0.009757632,0.016044162,94.11487919,272.5539152,TRUE
165.7753333,76.90433333,3,0.005029,-0.052158,0.7168996,198.0216,-0.01606022,-0.00563313,0.278812915,34.85383606,-0.021104552,0.000222144,1032.715222,228.0361757,TRUE
163.4373333,76.60333333,3,-0.004124,-0.095024,0.696434,182.194186,-0.011705,-0.006589,2.005088091,34.81623077,-0.008396023,0.003235541,730.3953967,329.8306678,TRUE
159.2401667,76.14766667,3,0.023989,-0.042407,0.91031,151.846589,-0.012636,-0.006744,2.955513,34.46463776,0.00020174,-0.000481651,957.1524322,183.4879236,TRUE
169.1883333,77.722,3,0.010711,0.045952,0.733613,175.95786,-0.01597426,-0.00339603,-1.334109664,33.78473282,0.016110327,-0.022210056,1524.623496,118.3852434,TRUE
168.8606667,76.70333333,3,0.003131,-0.019249,0.7082297,194.27426,-0.01210124,-0.00426052,2.503430367,34.93860626,0.003118811,0.007260029,2116.495048,45.19393566,TRUE
-156.4133733,9.23767,5,-0.020753,0.068972,1.88823,94.743097,-0.027788,-0.005487,1.046322,34.692654,0.007220339,0.001735695,5128.428865,19.36564853,TRUE
-156.4208,9.3804,5,-0.057985,0.073855,1.886283,94.478673,-0.030442,-0.006372,1.0453811,34.692688,0.001456322,0.011594021,5128.450911,29.67598313,TRUE
-156.4005127,9.500640861,5,-0.072634,0.075076,1.89469,93.746991,-0.032566,-0.007876,1.0454503,34.692692,0.004073447,0.000684163,5128.469737,53.07344469,TRUE
-154.1365356,9.44443225,5,0.061647,0.060427,1.912832,100.142035,-0.028584,-0.00177,1.0495921,34.692543,-0.002126297,-0.014129545,5128.460907,50.54264068,TRUE
-154.1987305,9.374421111,5,0.06653,0.06592,1.912832,100.142035,-0.028584,-0.00177,1.0495921,34.692543,-0.002126297,-0.014129545,5128.449981,9.812047667,TRUE
-154.066115,9.374758333,5,0.074465,0.064089,1.912566,100.90885,-0.027788,-0.000885,1.0495921,34.692543,-0.002126297,-0.014129545,5128.450033,22.2877358,TRUE
-153.9499683,9.251283333,5,0.100711,0.06592,1.907788,102.22885,-0.024602,0.000088,1.0495652,34.692558,0.00477238,-0.007728858,5128.430953,35.56215979,TRUE
