longitude latitude vo file
-156.42 9.25 0.068972 point0_vo.nc
-154.08 9.17 0.074465 point10_vo.nc
-154.08 9.17 0.074465 point11_vo.nc
-153.83 9.08 0.073855 point12_vo.nc
-154.17 9.33 0.065920 point13_vo.nc
-156.42 9.42 0.073855 point1_vo.nc
-156.42 9.50 0.075076 point2_vo.nc
-154.17 9.42 0.060427 point3_vo.nc
-154.17 9.33 0.065920 point4_vo.nc
-154.08 9.33 0.064089 point5_vo.nc
-153.92 9.25 0.065920 point6_vo.nc
-153.92 9.25 0.065920 point7_vo.nc
-153.92 9.17 0.070803 point8_vo.nc
-154.00 9.17 0.072634 point9_vo.nc
