longitude latitude vo file
177.33 70.25 -0.020142 point0_vo.nc
167.83 75.17 -0.013428 point10_vo.nc
168.08 75.83 -0.010987 point11_vo.nc
168.50 76.58 0.070803 point12_vo.nc
162.00 77.92 0.012207 point13_vo.nc
160.25 76.50 -0.057985 point14_vo.nc
159.25 75.83 0.018311 point15_vo.nc
158.50 75.25 0.005493 point16_vo.nc
155.67 74.08 -0.037233 point17_vo.nc
157.33 72.83 -0.042116 point18_vo.nc
153.25 71.92 -0.021363 point19_vo.nc
174.33 70.17 -0.054933 point1_vo.nc
153.17 73.33 0.001221 point20_vo.nc
151.17 73.50 0.006714 point21_vo.nc
148.50 73.75 -0.018311 point22_vo.nc
174.33 70.75 0.032350 point2_vo.nc
170.92 71.25 0.012207 point3_vo.nc
166.00 70.08 -0.031129 point4_vo.nc
166.25 71.00 0.003662 point5_vo.nc
166.58 71.67 -0.017701 point6_vo.nc
162.58 72.17 -0.026856 point7_vo.nc
166.92 72.92 -0.010987 point8_vo.nc
167.50 74.08 0.010987 point9_vo.nc
