longitude latitude vo file
-32.75 -5.42 0.021363 point0_vo.nc
-14.17 -17.25 0.007935 point10_vo.nc
-13.67 -14.25 -0.036012 point11_vo.nc
-13.33 -15.17 0.036622 point12_vo.nc
-13.33 -25.25 0.095828 point13_vo.nc
-13.42 -23.25 -0.027467 point14_vo.nc
-11.83 -20.33 -0.009766 point15_vo.nc
-12.00 -19.58 -0.025025 point16_vo.nc
-12.00 -19.42 -0.049440 point17_vo.nc
-12.00 -19.42 -0.049440 point18_vo.nc
-11.92 -19.42 -0.028687 point19_vo.nc
-14.33 -14.08 -0.025636 point1_vo.nc
-12.00 -19.50 -0.037233 point20_vo.nc
-11.92 -19.33 -0.038453 point21_vo.nc
-13.67 -14.25 -0.036012 point22_vo.nc
-13.42 -13.25 -0.011597 point23_vo.nc
-13.92 -12.17 -0.068361 point24_vo.nc
-14.42 -14.08 -0.015870 point25_vo.nc
-14.33 -14.00 -0.031129 point26_vo.nc
-14.33 -14.00 -0.031129 point27_vo.nc
-13.83 -26.00 0.018311 point28_vo.nc
-13.50 -27.17 0.007935 point29_vo.nc
-11.83 -20.17 0.010987 point2_vo.nc
-14.42 -14.08 -0.015870 point3_vo.nc
-14.33 -14.00 -0.031129 point4_vo.nc
-14.42 -14.08 -0.015870 point5_vo.nc
-14.42 -13.33 -0.043947 point6_vo.nc
-13.83 -26.00 0.018311 point7_vo.nc
-13.33 -24.58 -0.007935 point8_vo.nc
-13.33 -24.17 -0.049440 point9_vo.nc
