longitude latitude vo file
110.42 16.67 0.117870 point0_vo.nc
110.25 16.42 -0.095811 point10_vo.nc
110.50 16.75 -0.013089 point11_vo.nc
110.50 16.92 0.067243 point12_vo.nc
110.50 16.75 0.007433 point13_vo.nc
110.42 16.67 0.132077 point14_vo.nc
110.50 16.75 -0.013089 point15_vo.nc
110.42 16.67 0.132077 point16_vo.nc
110.42 16.67 0.117870 point17_vo.nc
110.42 16.75 0.000166 point18_vo.nc
110.50 16.75 -0.013089 point19_vo.nc
122.50 35.00 -0.147033 point1_vo.nc
110.42 16.67 0.117870 point20_vo.nc
110.58 17.17 0.075746 point21_vo.nc
119.25 22.08 0.417188 point22_vo.nc
110.50 16.75 -0.013089 point2_vo.nc
110.50 16.75 -0.013089 point3_vo.nc
110.42 16.67 0.132077 point4_vo.nc
110.25 16.42 -0.095811 point5_vo.nc
110.50 16.75 0.076693 point6_vo.nc
110.50 16.75 -0.013089 point7_vo.nc
110.50 16.75 0.007433 point8_vo.nc
110.50 16.75 0.007433 point9_vo.nc
