longitude	latitude	vo	file	
10.25	57.17	nan	point0_vo.nc	
-168.83	72.83	0.0824	point1_vo.nc	
-168.83	72.83	0.040895	point2_vo.nc	
-168.83	72.83	0.076907	point3_vo.nc	
118.17	38.67	0.040895	point4_vo.nc	
119.75	38.83	-0.010376	point5_vo.nc	
106.83	-6	-0.00061	point6_vo.nc	
106.83	-6	-0.015259	point7_vo.nc	
3.33	79	-0.034181	point8_vo.nc	
120.17	22.42	-0.322886	point9_vo.nc	
120.17	22.42	-0.171514	point10_vo.nc	
31.42	45	-0.008545	point11_vo.nc	
159.08	23.33	0.084841	point12_vo.nc	
139.58	35.25	nan	point13_vo.nc	
139.58	35.25	nan	point14_vo.nc	
120.83	33.25	-0.007935	point15_vo.nc	
-130.58	89.08	-0.012207	point16_vo.nc	
113.58	22.25	0.020753	point17_vo.nc	
113.33	22.25	nan	point18_vo.nc	
33.08	28.58	0.040284	point19_vo.nc	
32.5	31.33	-0.041505	point20_vo.nc	
73.75	15.42	-0.064089	point21_vo.nc	
73.75	15.42	-0.025636	point22_vo.nc	
74.25	11.58	0.179449	point23_vo.nc	
93.75	7.58	0.055544	point24_vo.nc	
14.17	67.83	0.125126	point25_vo.nc	
18.67	42.42	nan	point26_vo.nc	
153.5	45.5	0.036012	point27_vo.nc	
120.17	36.08	-0.004883	point28_vo.nc	
117.42	38.58	nan	point29_vo.nc	
100.83	11.75	-0.025025	point30_vo.nc	
121	30.33	-0.014649	point31_vo.nc	
119.42	37.42	-0.006104	point32_vo.nc	
122.5	37.08	-0.112918	point33_vo.nc	
122.5	37.08	-0.129398	point34_vo.nc	
122.5	37.08	0.039674	point35_vo.nc	
122.5	37.08	-0.081179	point36_vo.nc	
-3.08	79.92	-0.084231	point37_vo.nc	
-9.17	53.17	-0.00061	point38_vo.nc	
52.42	36.75	nan	point39_vo.nc	
51.58	36.75	nan	point40_vo.nc	
52.42	36.75	nan	point41_vo.nc	
121.08	30.33	-0.021363	point42_vo.nc	
60.33	25.25	0.030519	point43_vo.nc	
60.33	25.25	0.030519	point44_vo.nc	
50.75	37	nan	point45_vo.nc	
106.17	-6	nan	point46_vo.nc	
120.17	36.08	-0.014039	point47_vo.nc	
123	28.83	0.09949	point48_vo.nc	
123.92	35	-0.011597	point49_vo.nc	
121.5	37.5	0.021363	point50_vo.nc	
-3.75	36.58	-0.047609	point51_vo.nc	
11.83	42	-0.029908	point52_vo.nc	
-169	66.92	0.34608	point53_vo.nc	
4.58	53.08	0.041505	point54_vo.nc	
122.75	38.42	0.012818	point55_vo.nc	
119.67	38.58	0.007324	point56_vo.nc	
122.92	38.25	0.007324	point57_vo.nc	
123.58	34.67	0.06531	point58_vo.nc	
121	33	0.102542	point59_vo.nc	
118.08	24.42	-0.001831	point60_vo.nc	
-2.5	47.42	0.018921	point61_vo.nc	
-2	47	nan	point62_vo.nc	
-1.25	46.25	0.003052	point63_vo.nc	
119.92	38.75	0.026856	point64_vo.nc	
116	-8.83	nan	point65_vo.nc	
121.5	29.5	nan	point66_vo.nc	
10.25	37	0.007935	point67_vo.nc	
114.17	22.33	0.014649	point68_vo.nc	
114.17	22.33	0.002441	point69_vo.nc	
114.17	22.33	0.013428	point70_vo.nc	
56.25	27.17	0.012818	point71_vo.nc	
164	74.5	-0.006714	point72_vo.nc	
106.75	-6.08	-0.002441	point73_vo.nc	
-3.08	58.92	nan	point74_vo.nc	
