longitude latitude VMDR file
-156.40 9.20 94.743097 point0_VMDR.nc
-154.00 9.20 102.228850 point10_VMDR.nc
-154.20 9.20 101.410708 point11_VMDR.nc
-153.80 9.20 102.851416 point12_VMDR.nc
-154.20 9.40 100.142035 point13_VMDR.nc
-156.40 9.40 94.478673 point1_VMDR.nc
-156.40 9.60 93.746991 point2_VMDR.nc
-154.20 9.40 100.142035 point3_VMDR.nc
-154.20 9.40 100.142035 point4_VMDR.nc
-154.00 9.40 100.908850 point5_VMDR.nc
-154.00 9.20 102.228850 point6_VMDR.nc
-153.80 9.20 102.851416 point7_VMDR.nc
-154.00 9.20 102.228850 point8_VMDR.nc
-154.00 9.20 102.228850 point9_VMDR.nc
