longitude latitude VMDR file
177.40 70.20 214.530708 point0_VMDR.nc
167.80 75.20 214.166195 point10_VMDR.nc
168.20 75.80 nan point11_VMDR.nc
168.40 76.60 nan point12_VMDR.nc
162.00 77.80 nan point13_VMDR.nc
160.20 76.60 176.190973 point14_VMDR.nc
159.20 75.80 174.613540 point15_VMDR.nc
158.40 75.20 175.231593 point16_VMDR.nc
155.60 74.20 180.332478 point17_VMDR.nc
157.40 72.80 278.603274 point18_VMDR.nc
153.20 71.80 271.516814 point19_VMDR.nc
174.40 70.20 217.429558 point1_VMDR.nc
153.20 73.40 210.950442 point20_VMDR.nc
151.20 73.60 201.433274 point21_VMDR.nc
148.40 73.80 219.697434 point22_VMDR.nc
174.40 70.80 224.592212 point2_VMDR.nc
170.80 71.20 221.558584 point3_VMDR.nc
166.00 70.00 275.896372 point4_VMDR.nc
166.20 71.00 230.615487 point5_VMDR.nc
166.60 71.60 226.132920 point6_VMDR.nc
162.60 72.20 257.903894 point7_VMDR.nc
166.80 72.80 217.708673 point8_VMDR.nc
167.40 74.20 220.357876 point9_VMDR.nc
