longitude latitude VMDR file
-32.80 -5.40 140.664690 point0_VMDR.nc
-14.20 -17.20 140.783009 point10_VMDR.nc
-13.60 -14.20 141.871947 point11_VMDR.nc
-13.40 -15.20 141.908496 point12_VMDR.nc
-13.40 -25.20 152.440265 point13_VMDR.nc
-13.40 -23.20 144.760973 point14_VMDR.nc
-11.80 -20.40 139.191681 point15_VMDR.nc
-12.00 -19.60 140.358407 point16_VMDR.nc
-12.00 -19.40 140.390000 point17_VMDR.nc
-12.00 -19.40 140.390000 point18_VMDR.nc
-12.00 -19.40 140.390000 point19_VMDR.nc
-14.40 -14.00 141.824867 point1_VMDR.nc
-12.00 -19.40 140.390000 point20_VMDR.nc
-12.00 -19.40 140.390000 point21_VMDR.nc
-13.60 -14.20 141.871947 point22_VMDR.nc
-13.40 -13.20 143.996195 point23_VMDR.nc
-13.80 -12.20 145.225487 point24_VMDR.nc
-14.40 -14.00 141.824867 point25_VMDR.nc
-14.40 -14.00 141.824867 point26_VMDR.nc
-14.40 -14.00 141.824867 point27_VMDR.nc
-13.80 -26.00 157.877876 point28_VMDR.nc
-13.40 -27.20 171.444602 point29_VMDR.nc
-11.80 -20.20 139.421416 point2_VMDR.nc
-14.40 -14.00 141.824867 point3_VMDR.nc
-14.40 -14.00 141.824867 point4_VMDR.nc
-14.40 -14.00 141.824867 point5_VMDR.nc
-14.40 -13.20 142.213009 point6_VMDR.nc
-13.80 -26.00 157.877876 point7_VMDR.nc
-13.40 -24.60 149.285398 point8_VMDR.nc
-13.40 -24.20 147.334071 point9_VMDR.nc
