longitude latitude VMDR file
110.40 16.60 127.260265 point0_VMDR.nc
110.20 16.40 126.192920 point10_VMDR.nc
110.40 16.80 126.972478 point11_VMDR.nc
110.40 17.00 128.428850 point12_VMDR.nc
110.40 16.80 126.972478 point13_VMDR.nc
110.40 16.60 127.260265 point14_VMDR.nc
110.40 16.80 126.972478 point15_VMDR.nc
110.40 16.60 127.260265 point16_VMDR.nc
110.40 16.60 127.260265 point17_VMDR.nc
110.40 16.80 126.972478 point18_VMDR.nc
110.40 16.80 126.972478 point19_VMDR.nc
122.40 35.00 158.402035 point1_VMDR.nc
110.40 16.60 127.260265 point20_VMDR.nc
110.60 17.20 129.083186 point21_VMDR.nc
119.20 22.20 163.427965 point22_VMDR.nc
110.40 16.80 126.972478 point2_VMDR.nc
110.40 16.80 126.972478 point3_VMDR.nc
110.40 16.60 127.260265 point4_VMDR.nc
110.20 16.40 126.192920 point5_VMDR.nc
110.40 16.80 126.972478 point6_VMDR.nc
110.40 16.80 126.972478 point7_VMDR.nc
110.40 16.80 126.972478 point8_VMDR.nc
110.40 16.80 126.972478 point9_VMDR.nc
