longitude latitude VMDR file
142.20 11.20 53.164711 point0_VMDR.nc
142.00 11.00 52.555868 point10_VMDR.nc
142.00 11.80 52.991983 point11_VMDR.nc
142.60 11.40 53.830165 point12_VMDR.nc
142.60 11.40 53.830165 point1_VMDR.nc
142.20 11.80 53.290909 point2_VMDR.nc
142.20 11.40 53.251488 point3_VMDR.nc
141.80 11.60 52.828182 point4_VMDR.nc
142.40 11.00 53.344050 point5_VMDR.nc
141.00 10.00 50.439174 point6_VMDR.nc
142.20 11.40 53.251488 point7_VMDR.nc
141.80 11.00 52.235455 point8_VMDR.nc
142.20 11.60 53.307934 point9_VMDR.nc
