longitude	latitude	VMDR	file
10.2	57.2	nan	point0_VMDR.nc
-168.8	72.8	nan	point1_VMDR.nc
-168.8	72.8	138.110885	point2_VMDR.nc
-168.8	72.8	195.679735	point3_VMDR.nc
118.2	38.6	135.769912	point4_VMDR.nc
119.8	38.8	183.175044	point5_VMDR.nc
106.8	-6	247.064779	point6_VMDR.nc
106.8	-6	223.657522	point7_VMDR.nc
3.4	79	158.513178	point8_VMDR.nc
120.2	22.4	171.200088	point9_VMDR.nc
120.2	22.4	218.31469	point10_VMDR.nc
31.4	45	192.069835	point11_VMDR.nc
159.2	23.4	92.999292	point12_VMDR.nc
139.6	35.2	160.244336	point13_VMDR.nc
139.6	35.2	166.04708	point14_VMDR.nc
120.8	33.2	nan	point15_VMDR.nc
-130.6	89	nan	point16_VMDR.nc
113.6	22.2	176.867686	point17_VMDR.nc
113.4	22.2	nan	point18_VMDR.nc
33	28.6	334.582671	point19_VMDR.nc
32.4	31.2	244.607205	point20_VMDR.nc
73.8	15.4	254.756942	point21_VMDR.nc
73.8	15.4	255.351405	point22_VMDR.nc
74.2	11.6	242.622604	point23_VMDR.nc
93.8	7.6	105.10568	point24_VMDR.nc
14.2	67.8	246.119835	point25_VMDR.nc
18.8	42.4	183.470909	point26_VMDR.nc
153.4	45.6	155.154161	point27_VMDR.nc
120.2	36	nan	point28_VMDR.nc
117.4	38.6	nan	point29_VMDR.nc
100.8	11.8	98.968994	point30_VMDR.nc
121	30.4	70.800992	point31_VMDR.nc
119.4	37.4	76.650826	point32_VMDR.nc
122.6	37	84.941818	point33_VMDR.nc
122.6	37	147.132893	point34_VMDR.nc
122.6	37	173.21	point35_VMDR.nc
122.6	37	141.289669	point36_VMDR.nc
-3	79.8	nan	point37_VMDR.nc
-9.2	53.2	262.432397	point38_VMDR.nc
52.4	36.8	293.45281	point39_VMDR.nc
51.6	36.8	262.922397	point40_VMDR.nc
52.4	36.8	289.895207	point41_VMDR.nc
121	30.4	73.392066	point42_VMDR.nc
60.4	25.2	168.765372	point43_VMDR.nc
60.2	25.2	166.031157	point44_VMDR.nc
50.8	37	47.745702	point45_VMDR.nc
106.2	-6	167.327438	point46_VMDR.nc
120.2	36	nan	point47_VMDR.nc
123	28.8	60.859421	point48_VMDR.nc
124	35	205.296281	point49_VMDR.nc
121.4	37.4	nan	point50_VMDR.nc
-3.8	36.6	209.423719	point51_VMDR.nc
11.8	42	218.879008	point52_VMDR.nc
-169	67	180.658512	point53_VMDR.nc
4.6	53.2	174.210414	point54_VMDR.nc
122.8	38.4	155.925785	point55_VMDR.nc
119.6	38.6	113.063665	point56_VMDR.nc
123	38.2	149.184037	point57_VMDR.nc
123.6	34.6	166.463106	point58_VMDR.nc
121	33	93.656116	point59_VMDR.nc
118	24.4	133.906694	point60_VMDR.nc
-2.4	47.4	nan	point61_VMDR.nc
-2	47	236.580992	point62_VMDR.nc
-1.2	46.2	248.450992	point63_VMDR.nc
120	38.8	140.322562	point64_VMDR.nc
116	-8.8	206.802975	point65_VMDR.nc
121.4	29.6	nan	point66_VMDR.nc
10.2	37	156.297355	point67_VMDR.nc
114.2	22.2	156.815342	point68_VMDR.nc
114.2	22.2	102.364959	point69_VMDR.nc
114.2	22.2	98.762231	point70_VMDR.nc
56.2	27.2	nan	point71_VMDR.nc
164	74.4	nan	point72_VMDR.nc
106.8	-6	262.163491	point73_VMDR.nc
-3	59	264.557337	point74_VMDR.nc
