longitude latitude VHM0 file
-156.40 9.20 1.888230 point0_VHM0.nc
-154.00 9.20 1.907788 point10_VHM0.nc
-154.20 9.20 1.906195 point11_VHM0.nc
-153.80 9.20 1.908142 point12_VHM0.nc
-154.20 9.40 1.912832 point13_VHM0.nc
-156.40 9.40 1.886283 point1_VHM0.nc
-156.40 9.60 1.894690 point2_VHM0.nc
-154.20 9.40 1.912832 point3_VHM0.nc
-154.20 9.40 1.912832 point4_VHM0.nc
-154.00 9.40 1.912566 point5_VHM0.nc
-154.00 9.20 1.907788 point6_VHM0.nc
-153.80 9.20 1.908142 point7_VHM0.nc
-154.00 9.20 1.907788 point8_VHM0.nc
-154.00 9.20 1.907788 point9_VHM0.nc
