longitude latitude VHM0 file
177.40 70.20 0.746637 point0_VHM0.nc
167.80 75.20 0.702124 point10_VHM0.nc
168.20 75.80 nan point11_VHM0.nc
168.40 76.60 nan point12_VHM0.nc
162.00 77.80 nan point13_VHM0.nc
160.20 76.60 0.928407 point14_VHM0.nc
159.20 75.80 0.916460 point15_VHM0.nc
158.40 75.20 0.816195 point16_VHM0.nc
155.60 74.20 0.667876 point17_VHM0.nc
157.40 72.80 0.609469 point18_VHM0.nc
153.20 71.80 0.589292 point19_VHM0.nc
174.40 70.20 0.658053 point1_VHM0.nc
153.20 73.40 0.654425 point20_VHM0.nc
151.20 73.60 0.601239 point21_VHM0.nc
148.40 73.80 0.556372 point22_VHM0.nc
174.40 70.80 0.740973 point2_VHM0.nc
170.80 71.20 0.710088 point3_VHM0.nc
166.00 70.00 0.566991 point4_VHM0.nc
166.20 71.00 0.660442 point5_VHM0.nc
166.60 71.60 0.670973 point6_VHM0.nc
162.60 72.20 0.599823 point7_VHM0.nc
166.80 72.80 0.680531 point8_VHM0.nc
167.40 74.20 0.715398 point9_VHM0.nc
