longitude latitude VHM0 file
-32.80 -5.40 2.256637 point0_VHM0.nc
-14.20 -17.20 2.360885 point10_VHM0.nc
-13.60 -14.20 2.350708 point11_VHM0.nc
-13.40 -15.20 2.340796 point12_VHM0.nc
-13.40 -25.20 2.371150 point13_VHM0.nc
-13.40 -23.20 2.407345 point14_VHM0.nc
-11.80 -20.40 2.423717 point15_VHM0.nc
-12.00 -19.60 2.394867 point16_VHM0.nc
-12.00 -19.40 2.396991 point17_VHM0.nc
-12.00 -19.40 2.396991 point18_VHM0.nc
-12.00 -19.40 2.396991 point19_VHM0.nc
-14.40 -14.00 2.342743 point1_VHM0.nc
-12.00 -19.40 2.396991 point20_VHM0.nc
-12.00 -19.40 2.396991 point21_VHM0.nc
-13.60 -14.20 2.350708 point22_VHM0.nc
-13.40 -13.20 2.293894 point23_VHM0.nc
-13.80 -12.20 2.269027 point24_VHM0.nc
-14.40 -14.00 2.342743 point25_VHM0.nc
-14.40 -14.00 2.342743 point26_VHM0.nc
-14.40 -14.00 2.342743 point27_VHM0.nc
-13.80 -26.00 2.360000 point28_VHM0.nc
-13.40 -27.20 2.359558 point29_VHM0.nc
-11.80 -20.20 2.413097 point2_VHM0.nc
-14.40 -14.00 2.342743 point3_VHM0.nc
-14.40 -14.00 2.342743 point4_VHM0.nc
-14.40 -14.00 2.342743 point5_VHM0.nc
-14.40 -13.20 2.331239 point6_VHM0.nc
-13.80 -26.00 2.360000 point7_VHM0.nc
-13.40 -24.60 2.391239 point8_VHM0.nc
-13.40 -24.20 2.407345 point9_VHM0.nc
