longitude latitude VHM0 file
110.40 16.60 0.848496 point0_VHM0.nc
110.20 16.40 0.846814 point10_VHM0.nc
110.40 16.80 0.855929 point11_VHM0.nc
110.40 17.00 0.869381 point12_VHM0.nc
110.40 16.80 0.855929 point13_VHM0.nc
110.40 16.60 0.848496 point14_VHM0.nc
110.40 16.80 0.855929 point15_VHM0.nc
110.40 16.60 0.848496 point16_VHM0.nc
110.40 16.60 0.848496 point17_VHM0.nc
110.40 16.80 0.855929 point18_VHM0.nc
110.40 16.80 0.855929 point19_VHM0.nc
122.40 35.00 1.087876 point1_VHM0.nc
110.40 16.60 0.848496 point20_VHM0.nc
110.60 17.20 0.898407 point21_VHM0.nc
119.20 22.20 1.118230 point22_VHM0.nc
110.40 16.80 0.855929 point2_VHM0.nc
110.40 16.80 0.855929 point3_VHM0.nc
110.40 16.60 0.848496 point4_VHM0.nc
110.20 16.40 0.846814 point5_VHM0.nc
110.40 16.80 0.855929 point6_VHM0.nc
110.40 16.80 0.855929 point7_VHM0.nc
110.40 16.80 0.855929 point8_VHM0.nc
110.40 16.80 0.855929 point9_VHM0.nc
