longitude latitude VHM0 file
142.20 11.20 1.630331 point0_VHM0.nc
142.00 11.00 1.624380 point10_VHM0.nc
142.00 11.80 1.670331 point11_VHM0.nc
142.60 11.40 1.634711 point12_VHM0.nc
142.60 11.40 1.634711 point1_VHM0.nc
142.20 11.80 1.663967 point2_VHM0.nc
142.20 11.40 1.639835 point3_VHM0.nc
141.80 11.60 1.661736 point4_VHM0.nc
142.40 11.00 1.621405 point5_VHM0.nc
141.00 10.00 1.574711 point6_VHM0.nc
142.20 11.40 1.639835 point7_VHM0.nc
141.80 11.00 1.625289 point8_VHM0.nc
142.20 11.60 1.651488 point9_VHM0.nc
