longitude	latitude	VHM0	file
10.2	57.2	nan	point0_VHM0.nc
-168.8	72.8	nan	point1_VHM0.nc
-168.8	72.8	0.594248	point2_VHM0.nc
-168.8	72.8	0.375221	point3_VHM0.nc
118.2	38.6	0.572743	point4_VHM0.nc
119.8	38.8	0.695575	point5_VHM0.nc
106.8	-6	0.072035	point6_VHM0.nc
106.8	-6	0.106991	point7_VHM0.nc
3.4	79	0.870775	point8_VHM0.nc
120.2	22.4	0.782389	point9_VHM0.nc
120.2	22.4	1.911239	point10_VHM0.nc
31.4	45	1.21281	point11_VHM0.nc
159.2	23.4	1.805221	point12_VHM0.nc
139.6	35.2	0.664425	point13_VHM0.nc
139.6	35.2	0.515487	point14_VHM0.nc
120.8	33.2	nan	point15_VHM0.nc
-130.6	89	nan	point16_VHM0.nc
113.6	22.2	0.40595	point17_VHM0.nc
113.4	22.2	nan	point18_VHM0.nc
33	28.6	0.48354	point19_VHM0.nc
32.4	31.2	0.337019	point20_VHM0.nc
73.8	15.4	0.62405	point21_VHM0.nc
73.8	15.4	1.760579	point22_VHM0.nc
74.2	11.6	0.956568	point23_VHM0.nc
93.8	7.6	0.804852	point24_VHM0.nc
14.2	67.8	0.825207	point25_VHM0.nc
18.8	42.4	0.781157	point26_VHM0.nc
153.4	45.6	1.546894	point27_VHM0.nc
120.2	36	nan	point28_VHM0.nc
117.4	38.6	nan	point29_VHM0.nc
100.8	11.8	0.511775	point30_VHM0.nc
121	30.4	0.215785	point31_VHM0.nc
119.4	37.4	0.288678	point32_VHM0.nc
122.6	37	0.841157	point33_VHM0.nc
122.6	37	0.578017	point34_VHM0.nc
122.6	37	0.491322	point35_VHM0.nc
122.6	37	0.356777	point36_VHM0.nc
-3	79.8	nan	point37_VHM0.nc
-9.2	53.2	0.598182	point38_VHM0.nc
52.4	36.8	0.287355	point39_VHM0.nc
51.6	36.8	0.505289	point40_VHM0.nc
52.4	36.8	0.455702	point41_VHM0.nc
121	30.4	0.164298	point42_VHM0.nc
60.4	25.2	0.725289	point43_VHM0.nc
60.2	25.2	0.710992	point44_VHM0.nc
50.8	37	0.55719	point45_VHM0.nc
106.2	-6	0.039835	point46_VHM0.nc
120.2	36	nan	point47_VHM0.nc
123	28.8	1.438264	point48_VHM0.nc
124	35	0.903636	point49_VHM0.nc
121.4	37.4	nan	point50_VHM0.nc
-3.8	36.6	0.469008	point51_VHM0.nc
11.8	42	0.273471	point52_VHM0.nc
-169	67	1.007521	point53_VHM0.nc
4.6	53.2	0.696746	point54_VHM0.nc
122.8	38.4	0.753554	point55_VHM0.nc
119.6	38.6	0.485155	point56_VHM0.nc
123	38.2	0.77764	point57_VHM0.nc
123.6	34.6	1.167702	point58_VHM0.nc
121	33	0.740496	point59_VHM0.nc
118	24.4	0.276777	point60_VHM0.nc
-2.4	47.4	nan	point61_VHM0.nc
-2	47	0.458512	point62_VHM0.nc
-1.2	46.2	0.556281	point63_VHM0.nc
120	38.8	0.548182	point64_VHM0.nc
116	-8.8	0.949587	point65_VHM0.nc
121.4	29.6	nan	point66_VHM0.nc
10.2	37	0.44686	point67_VHM0.nc
114.2	22.2	0.708509	point68_VHM0.nc
114.2	22.2	0.685041	point69_VHM0.nc
114.2	22.2	0.700496	point70_VHM0.nc
56.2	27.2	nan	point71_VHM0.nc
164	74.4	nan	point72_VHM0.nc
106.8	-6	0.204379	point73_VHM0.nc
-3	59	0.964142	point74_VHM0.nc
