longitude latitude VSDX file
-156.40 9.20 -0.027788 point0_VSDX.nc
-154.00 9.20 -0.024602 point10_VSDX.nc
-154.20 9.20 -0.025133 point11_VSDX.nc
-153.80 9.20 -0.025575 point12_VSDX.nc
-154.20 9.40 -0.028584 point13_VSDX.nc
-156.40 9.40 -0.030442 point1_VSDX.nc
-156.40 9.60 -0.032566 point2_VSDX.nc
-154.20 9.40 -0.028584 point3_VSDX.nc
-154.20 9.40 -0.028584 point4_VSDX.nc
-154.00 9.40 -0.027788 point5_VSDX.nc
-154.00 9.20 -0.024602 point6_VSDX.nc
-153.80 9.20 -0.025575 point7_VSDX.nc
-154.00 9.20 -0.024602 point8_VSDX.nc
-154.00 9.20 -0.024602 point9_VSDX.nc
