longitude latitude VSDX file
177.40 70.20 0.003717 point0_VSDX.nc
167.80 75.20 -0.013805 point10_VSDX.nc
168.20 75.80 nan point11_VSDX.nc
168.40 76.60 nan point12_VSDX.nc
162.00 77.80 nan point13_VSDX.nc
160.20 76.60 -0.034336 point14_VSDX.nc
159.20 75.80 -0.025487 point15_VSDX.nc
158.40 75.20 -0.012301 point16_VSDX.nc
155.60 74.20 0.012301 point17_VSDX.nc
157.40 72.80 0.022920 point18_VSDX.nc
153.20 71.80 0.026283 point19_VSDX.nc
174.40 70.20 0.005221 point1_VSDX.nc
153.20 73.40 0.020265 point20_VSDX.nc
151.20 73.60 0.018319 point21_VSDX.nc
148.40 73.80 0.015664 point22_VSDX.nc
174.40 70.80 0.006549 point2_VSDX.nc
170.80 71.20 0.005841 point3_VSDX.nc
166.00 70.00 0.016283 point4_VSDX.nc
166.20 71.00 0.010796 point5_VSDX.nc
166.60 71.60 0.007345 point6_VSDX.nc
162.60 72.20 0.014779 point7_VSDX.nc
166.80 72.80 0.004602 point8_VSDX.nc
167.40 74.20 -0.003894 point9_VSDX.nc
