longitude	latitude	VSDX	file
-32.8	-5.4	-0.070885	point0_VSDX.nc
-14.4	-14	-0.096991	point1_VSDX.nc
-11.8	-20.2	-0.092566	point2_VSDX.nc
-14.4	-14	-0.096991	point3_VSDX.nc
-14.4	-14	-0.096991	point4_VSDX.nc
-14.4	-14	-0.096991	point5_VSDX.nc
-14.4	-13.2	-0.096903	point6_VSDX.nc
-13.8	-26	-0.062478	point7_VSDX.nc
-13.4	-24.6	-0.074779	point8_VSDX.nc
-13.4	-24.2	-0.078053	point9_VSDX.nc
-14.2	-17.2	-0.092478	point10_VSDX.nc
-13.6	-14.2	-0.095841	point11_VSDX.nc
-13.4	-15.2	-0.095752	point12_VSDX.nc
-13.4	-25.2	-0.071062	point13_VSDX.nc
-13.4	-23.2	-0.081947	point14_VSDX.nc
-11.8	-20.4	-0.09354	point15_VSDX.nc
-12	-19.6	-0.092301	point16_VSDX.nc
-12	-19.4	-0.092212	point17_VSDX.nc
-12	-19.4	-0.092212	point18_VSDX.nc
-12	-19.4	-0.092212	point19_VSDX.nc
-12	-19.4	-0.092212	point20_VSDX.nc
-12	-19.4	-0.092212	point21_VSDX.nc
-13.6	-14.2	-0.095841	point22_VSDX.nc
-13.4	-13.2	-0.093009	point23_VSDX.nc
-13.8	-12.2	-0.091681	point24_VSDX.nc
-14.4	-14	-0.096991	point25_VSDX.nc
-14.4	-14	-0.096991	point26_VSDX.nc
-14.4	-14	-0.096991	point27_VSDX.nc
-13.8	-26	-0.062478	point28_VSDX.nc
-13.4	-27.2	-0.044779	point29_VSDX.nc
