longitude latitude VSDX file
110.40 16.60 -0.017965 point0_VSDX.nc
110.20 16.40 -0.018850 point10_VSDX.nc
110.40 16.80 -0.018761 point11_VSDX.nc
110.40 17.00 -0.020354 point12_VSDX.nc
110.40 16.80 -0.018761 point13_VSDX.nc
110.40 16.60 -0.017965 point14_VSDX.nc
110.40 16.80 -0.018761 point15_VSDX.nc
110.40 16.60 -0.017965 point16_VSDX.nc
110.40 16.60 -0.017965 point17_VSDX.nc
110.40 16.80 -0.018761 point18_VSDX.nc
110.40 16.80 -0.018761 point19_VSDX.nc
122.40 35.00 -0.011858 point1_VSDX.nc
110.40 16.60 -0.017965 point20_VSDX.nc
110.60 17.20 -0.020354 point21_VSDX.nc
119.20 22.20 -0.028584 point22_VSDX.nc
110.40 16.80 -0.018761 point2_VSDX.nc
110.40 16.80 -0.018761 point3_VSDX.nc
110.40 16.60 -0.017965 point4_VSDX.nc
110.20 16.40 -0.018850 point5_VSDX.nc
110.40 16.80 -0.018761 point6_VSDX.nc
110.40 16.80 -0.018761 point7_VSDX.nc
110.40 16.80 -0.018761 point8_VSDX.nc
110.40 16.80 -0.018761 point9_VSDX.nc
