longitude	latitude	VSDX	file
10.2	57.2	nan	point0_VSDX.nc
-168.8	72.8	nan	point1_VSDX.nc
-168.8	72.8	-0.014867	point2_VSDX.nc
-168.8	72.8	0.001239	point3_VSDX.nc
118.2	38.6	-0.024513	point4_VSDX.nc
119.8	38.8	0.013451	point5_VSDX.nc
106.8	-6	0.004956	point6_VSDX.nc
106.8	-6	0.000973	point7_VSDX.nc
3.4	79	-0.014031	point8_VSDX.nc
120.2	22.4	0.000885	point9_VSDX.nc
120.2	22.4	0.03885	point10_VSDX.nc
31.4	45	0.007851	point11_VSDX.nc
159.2	23.4	-0.076903	point12_VSDX.nc
139.6	35.2	0.005221	point13_VSDX.nc
139.6	35.2	0.002478	point14_VSDX.nc
120.8	33.2	nan	point15_VSDX.nc
-130.6	89	nan	point16_VSDX.nc
113.6	22.2	-0.00124	point17_VSDX.nc
113.4	22.2	nan	point18_VSDX.nc
33	28.6	0.02472	point19_VSDX.nc
32.4	31.2	-0.001863	point20_VSDX.nc
73.8	15.4	0.023388	point21_VSDX.nc
73.8	15.4	0.064959	point22_VSDX.nc
74.2	11.6	0.007574	point23_VSDX.nc
93.8	7.6	-0.044201	point24_VSDX.nc
14.2	67.8	-0.027603	point25_VSDX.nc
18.8	42.4	-0.005868	point26_VSDX.nc
153.4	45.6	0.000621	point27_VSDX.nc
120.2	36	nan	point28_VSDX.nc
117.4	38.6	nan	point29_VSDX.nc
100.8	11.8	-0.017396	point30_VSDX.nc
121	30.4	-0.00719	point31_VSDX.nc
119.4	37.4	-0.017521	point32_VSDX.nc
122.6	37	-0.018182	point33_VSDX.nc
122.6	37	0.005124	point34_VSDX.nc
122.6	37	0.005124	point35_VSDX.nc
122.6	37	0.000496	point36_VSDX.nc
-3	79.8	nan	point37_VSDX.nc
-9.2	53.2	0.027769	point38_VSDX.nc
52.4	36.8	0.00157	point39_VSDX.nc
51.6	36.8	0.009917	point40_VSDX.nc
52.4	36.8	0.02157	point41_VSDX.nc
121	30.4	-0.009835	point42_VSDX.nc
60.4	25.2	0.001818	point43_VSDX.nc
60.2	25.2	-0.000165	point44_VSDX.nc
50.8	37	-0.013058	point45_VSDX.nc
106.2	-6	-0.000083	point46_VSDX.nc
120.2	36	nan	point47_VSDX.nc
123	28.8	-0.040744	point48_VSDX.nc
124	35	0.017355	point49_VSDX.nc
121.4	37.4	nan	point50_VSDX.nc
-3.8	36.6	0.019008	point51_VSDX.nc
11.8	42	0.007603	point52_VSDX.nc
-169	67	0.00438	point53_VSDX.nc
4.6	53.2	0.001183	point54_VSDX.nc
122.8	38.4	0.005041	point55_VSDX.nc
119.6	38.6	-0.020248	point56_VSDX.nc
123	38.2	-0.014534	point57_VSDX.nc
123.6	34.6	-0.011056	point58_VSDX.nc
121	33	-0.024298	point59_VSDX.nc
118	24.4	-0.00686	point60_VSDX.nc
-2.4	47.4	nan	point61_VSDX.nc
-2	47	-0.000248	point62_VSDX.nc
-1.2	46.2	-0.002975	point63_VSDX.nc
120	38.8	-0.014876	point64_VSDX.nc
116	-8.8	0.010579	point65_VSDX.nc
121.4	29.6	nan	point66_VSDX.nc
10.2	37	-0.000331	point67_VSDX.nc
114.2	22.2	-0.007081	point68_VSDX.nc
114.2	22.2	-0.050413	point69_VSDX.nc
114.2	22.2	-0.042562	point70_VSDX.nc
56.2	27.2	nan	point71_VSDX.nc
164	74.4	nan	point72_VSDX.nc
106.8	-6	0.007278	point73_VSDX.nc
-3	59	0.017456	point74_VSDX.nc
