longitude latitude VSDY file
-156.40 9.20 -0.005487 point0_VSDY.nc
-154.00 9.20 0.000088 point10_VSDY.nc
-154.20 9.20 -0.000177 point11_VSDY.nc
-153.80 9.20 0.000619 point12_VSDY.nc
-154.20 9.40 -0.001770 point13_VSDY.nc
-156.40 9.40 -0.006372 point1_VSDY.nc
-156.40 9.60 -0.007876 point2_VSDY.nc
-154.20 9.40 -0.001770 point3_VSDY.nc
-154.20 9.40 -0.001770 point4_VSDY.nc
-154.00 9.40 -0.000885 point5_VSDY.nc
-154.00 9.20 0.000088 point6_VSDY.nc
-153.80 9.20 0.000619 point7_VSDY.nc
-154.00 9.20 0.000088 point8_VSDY.nc
-154.00 9.20 0.000088 point9_VSDY.nc
