longitude latitude VSDY file
177.40 70.20 -0.000708 point0_VSDY.nc
167.80 75.20 0.000177 point10_VSDY.nc
168.20 75.80 nan point11_VSDY.nc
168.40 76.60 nan point12_VSDY.nc
162.00 77.80 nan point13_VSDY.nc
160.20 76.60 -0.016195 point14_VSDY.nc
159.20 75.80 -0.020796 point15_VSDY.nc
158.40 75.20 -0.022124 point16_VSDY.nc
155.60 74.20 -0.028230 point17_VSDY.nc
157.40 72.80 -0.020265 point18_VSDY.nc
153.20 71.80 -0.028850 point19_VSDY.nc
174.40 70.20 -0.005664 point1_VSDY.nc
153.20 73.40 -0.031770 point20_VSDY.nc
151.20 73.60 -0.032478 point21_VSDY.nc
148.40 73.80 -0.033717 point22_VSDY.nc
174.40 70.80 0.000885 point2_VSDY.nc
170.80 71.20 -0.000354 point3_VSDY.nc
166.00 70.00 -0.009646 point4_VSDY.nc
166.20 71.00 -0.007876 point5_VSDY.nc
166.60 71.60 -0.008761 point6_VSDY.nc
162.60 72.20 -0.009823 point7_VSDY.nc
166.80 72.80 -0.004602 point8_VSDY.nc
167.40 74.20 -0.001858 point9_VSDY.nc
