longitude latitude VSDY file
-32.80 -5.40 0.078761 point0_VSDY.nc
-14.20 -17.20 0.036726 point10_VSDY.nc
-13.60 -14.20 0.040708 point11_VSDY.nc
-13.40 -15.20 0.039027 point12_VSDY.nc
-13.40 -25.20 0.028319 point13_VSDY.nc
-13.40 -23.20 0.027168 point14_VSDY.nc
-11.80 -20.40 0.032389 point15_VSDY.nc
-12.00 -19.60 0.034336 point16_VSDY.nc
-12.00 -19.40 0.035664 point17_VSDY.nc
-12.00 -19.40 0.035664 point18_VSDY.nc
-12.00 -19.40 0.035664 point19_VSDY.nc
-14.40 -14.00 0.040442 point1_VSDY.nc
-12.00 -19.40 0.035664 point20_VSDY.nc
-12.00 -19.40 0.035664 point21_VSDY.nc
-13.60 -14.20 0.040708 point22_VSDY.nc
-13.40 -13.20 0.042212 point23_VSDY.nc
-13.80 -12.20 0.046903 point24_VSDY.nc
-14.40 -14.00 0.040442 point25_VSDY.nc
-14.40 -14.00 0.040442 point26_VSDY.nc
-14.40 -14.00 0.040442 point27_VSDY.nc
-13.80 -26.00 0.026814 point28_VSDY.nc
-13.40 -27.20 0.024602 point29_VSDY.nc
-11.80 -20.20 0.032478 point2_VSDY.nc
-14.40 -14.00 0.040442 point3_VSDY.nc
-14.40 -14.00 0.040442 point4_VSDY.nc
-14.40 -14.00 0.040442 point5_VSDY.nc
-14.40 -13.20 0.042124 point6_VSDY.nc
-13.80 -26.00 0.026814 point7_VSDY.nc
-13.40 -24.60 0.030442 point8_VSDY.nc
-13.40 -24.20 0.030177 point9_VSDY.nc
