longitude latitude VSDY file
110.40 16.60 0.030354 point0_VSDY.nc
110.20 16.40 0.030973 point10_VSDY.nc
110.40 16.80 0.030442 point11_VSDY.nc
110.40 17.00 0.031327 point12_VSDY.nc
110.40 16.80 0.030442 point13_VSDY.nc
110.40 16.60 0.030354 point14_VSDY.nc
110.40 16.80 0.030442 point15_VSDY.nc
110.40 16.60 0.030354 point16_VSDY.nc
110.40 16.60 0.030354 point17_VSDY.nc
110.40 16.80 0.030442 point18_VSDY.nc
110.40 16.80 0.030442 point19_VSDY.nc
122.40 35.00 0.042743 point1_VSDY.nc
110.40 16.60 0.030354 point20_VSDY.nc
110.60 17.20 0.032566 point21_VSDY.nc
119.20 22.20 0.038673 point22_VSDY.nc
110.40 16.80 0.030442 point2_VSDY.nc
110.40 16.80 0.030442 point3_VSDY.nc
110.40 16.60 0.030354 point4_VSDY.nc
110.20 16.40 0.030973 point5_VSDY.nc
110.40 16.80 0.030442 point6_VSDY.nc
110.40 16.80 0.030442 point7_VSDY.nc
110.40 16.80 0.030442 point8_VSDY.nc
110.40 16.80 0.030442 point9_VSDY.nc
