longitude	latitude	VSDY	file
10.2	57.2	nan	point0_VSDY.nc
-168.8	72.8	nan	point1_VSDY.nc
-168.8	72.8	-0.035044	point2_VSDY.nc
-168.8	72.8	0.006372	point3_VSDY.nc
118.2	38.6	0.014248	point4_VSDY.nc
119.8	38.8	0.035575	point5_VSDY.nc
106.8	-6	0	point6_VSDY.nc
106.8	-6	-0.003717	point7_VSDY.nc
3.4	79	0.011008	point8_VSDY.nc
120.2	22.4	-0.009912	point9_VSDY.nc
120.2	22.4	0.02823	point10_VSDY.nc
31.4	45	0.005207	point11_VSDY.nc
159.2	23.4	0.006372	point12_VSDY.nc
139.6	35.2	0.016637	point13_VSDY.nc
139.6	35.2	-0.004071	point14_VSDY.nc
120.8	33.2	nan	point15_VSDY.nc
-130.6	89	nan	point16_VSDY.nc
113.6	22.2	0.026612	point17_VSDY.nc
113.4	22.2	nan	point18_VSDY.nc
33	28.6	-0.050373	point19_VSDY.nc
32.4	31.2	-0.023851	point20_VSDY.nc
73.8	15.4	-0.010992	point21_VSDY.nc
73.8	15.4	0.008182	point22_VSDY.nc
74.2	11.6	-0.018402	point23_VSDY.nc
93.8	7.6	-0.023787	point24_VSDY.nc
14.2	67.8	0.026116	point25_VSDY.nc
18.8	42.4	0.033388	point26_VSDY.nc
153.4	45.6	0.011988	point27_VSDY.nc
120.2	36	nan	point28_VSDY.nc
117.4	38.6	nan	point29_VSDY.nc
100.8	11.8	-0.026746	point30_VSDY.nc
121	30.4	-0.011157	point31_VSDY.nc
119.4	37.4	-0.005868	point32_VSDY.nc
122.6	37	-0.04	point33_VSDY.nc
122.6	37	-0.007107	point34_VSDY.nc
122.6	37	0.032397	point35_VSDY.nc
122.6	37	0.003636	point36_VSDY.nc
-3	79.8	nan	point37_VSDY.nc
-9.2	53.2	0.006612	point38_VSDY.nc
52.4	36.8	-0.009421	point39_VSDY.nc
51.6	36.8	-0.020083	point40_VSDY.nc
52.4	36.8	-0.015124	point41_VSDY.nc
121	30.4	-0.000661	point42_VSDY.nc
60.4	25.2	0.019917	point43_VSDY.nc
60.2	25.2	0.019504	point44_VSDY.nc
50.8	37	-0.016198	point45_VSDY.nc
106.2	-6	-0.000165	point46_VSDY.nc
120.2	36	nan	point47_VSDY.nc
123	28.8	-0.053967	point48_VSDY.nc
124	35	-0.042231	point49_VSDY.nc
121.4	37.4	nan	point50_VSDY.nc
-3.8	36.6	0.009752	point51_VSDY.nc
11.8	42	0.006198	point52_VSDY.nc
-169	67	0.031983	point53_VSDY.nc
4.6	53.2	-0.011124	point54_VSDY.nc
122.8	38.4	-0.019421	point55_VSDY.nc
119.6	38.6	0.012671	point56_VSDY.nc
123	38.2	0.007702	point57_VSDY.nc
123.6	34.6	0.031863	point58_VSDY.nc
121	33	-0.020992	point59_VSDY.nc
118	24.4	0.001405	point60_VSDY.nc
-2.4	47.4	nan	point61_VSDY.nc
-2	47	-0.00686	point62_VSDY.nc
-1.2	46.2	-0.009835	point63_VSDY.nc
120	38.8	-0.01876	point64_VSDY.nc
116	-8.8	0.007851	point65_VSDY.nc
121.4	29.6	nan	point66_VSDY.nc
10.2	37	-0.008347	point67_VSDY.nc
114.2	22.2	0.03087	point68_VSDY.nc
114.2	22.2	-0.000496	point69_VSDY.nc
114.2	22.2	-0.010992	point70_VSDY.nc
56.2	27.2	nan	point71_VSDY.nc
164	74.4	nan	point72_VSDY.nc
106.8	-6	-0.008107	point73_VSDY.nc
-3	59	0.013669	point74_VSDY.nc
